id,Found?,old ID,pieces,name,series,artist,imageUrl,boxImageUrl,autoUrl,autoUrl1,autoUrl2
12000001,Yes,,1000,"Three rocks in Cheow, Thailand",Power of Nature,,https://ravensburger.cloud/images/produktseiten/820x600/12000001_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000001.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000001_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000001_2.webp
12000002,Yes,,1000,Aladdin,Disney Collector's Edition,,https://ravensburger.cloud/images/produktseiten/820x600/12000002_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000002.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000002_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000002_2.webp
12000003,Yes,,1000,Susi und Strolch,Disney Collector's Edition,,https://ravensburger.cloud/images/produktseiten/820x600/12000003_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000003.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000003_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000003_2.webp
12000004,Yes,,1000,RhB World Record,Beautiful Switzerland,,https://ravensburger.cloud/images/produktseiten/820x600/12000004_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000004.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000004_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000004_2.webp
12000005,Yes,,1000,Sleeping Beauty,Disney Collector's Edition,,https://ravensburger.cloud/images/produktseiten/820x600/12000005_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000005.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000005_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000005_2.webp
12000006,Yes,,1000,Fantasy Toy Shop,,,https://ravensburger.cloud/images/produktseiten/820x600/12000006_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000006.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000006_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000006_2.webp
12000007,Yes,,1000,Leisure Days Nr. 3 - Winter Village,Leisure Days,,https://ravensburger.cloud/images/produktseiten/820x600/12000007_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000007.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000007_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000007_2.webp
12000008,Yes,,1000,Country Cottage Collection No.13 Railway Cottage,Country Cottage Collection,,https://ravensburger.cloud/images/produktseiten/820x600/12000008_1.webp ,,https://ravensburger.cloud/images/produktseiten/820x600/12000008.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000008_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000008_2.webp
12000009,Yes,13990,1000,Best of British No. 21 The Fairground,Best of British,,https://ravensburger.cloud/images/produktseiten/820x600/12000009.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000009.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000009_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000009_2.webp
12000010,Yes,13991,1000,Home for Christmas,,,https://ravensburger.cloud/images/produktseiten/820x600/12000010.webp,https://m.media-amazon.com/images/I/A11L4gT8sKL._AC_SX679_.jpg,https://ravensburger.cloud/images/produktseiten/820x600/12000010.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000010_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000010_2.webp
12000011,Yes,,2x500,Picturesque Landscapes No.1 Yorkshire,Picturesque Landscapes,,https://ravensburger.cloud/images/produktseiten/820x600/12000011_1.webp; https://ravensburger.cloud/images/produktseiten/820x600/12000011_2.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000011_3.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000011.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000011_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000011_2.webp
12000012,Yes,,2x500,Picturesque Landscapes No.2 Norfolk Cromer & Horning,Picturesque Landscapes,,https://ravensburger.cloud/images/produktseiten/820x600/12000012_1.webp; https://ravensburger.cloud/images/produktseiten/820x600/12000012_2.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000012_3.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000012.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000012_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000012_2.webp
12000013,Yes,,2x500,Railway Heritage No.1 Corfe Station & Oakworth Station,Railway Heritage,,https://ravensburger.cloud/images/produktseiten/820x600/12000013_1.webp; https://ravensburger.cloud/images/produktseiten/820x600/12000013_2.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000013_4.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000013.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000013_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000013_2.webp
12000014,No,,,,,,,,https://ravensburger.cloud/images/produktseiten/820x600/12000014.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000014_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000014_2.webp
12000015,Yes,,1000,Rome,Beautiful Skylines,,https://ravensburger.cloud/images/produktseiten/820x600/12000015_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000015.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000015_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000015_2.webp
12000016,Yes,,1000,London,Beautiful Skylines,,https://ravensburger.cloud/images/produktseiten/820x600/12000016_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000016.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000016_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000016_2.webp
12000017,Yes,,1000,New York,Beautiful Skylines,,https://ravensburger.cloud/images/produktseiten/820x600/12000017_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000017.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000017_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000017_2.webp
12000018,Yes,,1000,Paris,Beautiful Skylines,,https://ravensburger.cloud/images/produktseiten/820x600/12000018_1.webp,,https://ravensburger.cloud/images/produktseiten/820x600/12000018.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000018_1.webp,https://ravensburger.cloud/images/produktseiten/820x600/12000018_2.webp
